CrimeDateTime,ASSAULT,BATTERY,WEAPONS VIOLATION,THEFT,CRIMINAL TRESPASS,MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,DECEPTIVE PRACTICE,ROBBERY,PUBLIC PEACE VIOLATION,CRIMINAL SEXUAL ASSAULT,NARCOTICS,OTHER OFFENSE,BURGLARY,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,CONCEALED CARRY LICENSE VIOLATION,PROSTITUTION,HUMAN TRAFFICKING,OBSCENITY,STALKING,ARSON,LIQUOR LAW VIOLATION,KIDNAPPING,INTIMIDATION,PUBLIC INDECENCY,NON-CRIMINAL,GAMBLING,OTHER NARCOTIC VIOLATION
2021-01-01,39,158,61,76,10,22,94,130,11,5,16,12,65,21,32,10,2,1,2.0,2.0,1.0,1,1,,,,,,,,
2021-01-02,34,84,31,78,8,23,40,54,14,0,2,20,35,16,4,1,1,1,0.0,0.0,0.0,0,1,1.0,1.0,,,,,,
2021-01-03,33,108,31,70,13,30,73,62,20,3,3,24,20,15,4,2,2,1,0.0,0.0,0.0,0,0,1.0,0.0,1.0,,,,,
2021-01-04,38,84,30,87,8,23,54,104,13,1,5,14,35,18,5,5,3,1,0.0,0.0,0.0,1,2,1.0,0.0,0.0,,,,,
2021-01-05,39,79,26,93,5,29,62,92,22,4,1,21,32,21,3,1,1,4,1.0,0.0,0.0,0,3,1.0,0.0,0.0,,,,,
2021-01-06,49,64,16,77,10,22,45,100,19,1,3,22,33,11,3,2,3,1,0.0,0.0,0.0,0,2,1.0,0.0,0.0,1.0,,,,
2021-01-07,39,87,32,115,13,27,49,88,31,2,3,18,42,15,5,3,1,2,1.0,2.0,0.0,0,1,2.0,0.0,0.0,0.0,,,,
2021-01-08,60,84,21,111,7,31,73,83,25,1,2,22,31,24,5,1,1,3,0.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,,,,
2021-01-09,46,100,27,76,9,30,58,31,19,1,2,24,38,13,4,2,5,1,1.0,0.0,0.0,1,1,3.0,2.0,0.0,0.0,,,,
2021-01-10,42,96,37,80,9,25,69,92,23,0,3,17,37,14,6,0,0,4,0.0,0.0,0.0,0,2,2.0,0.0,0.0,0.0,,,,
2021-01-11,56,68,18,85,4,29,41,90,32,1,1,16,22,15,3,0,1,1,0.0,0.0,0.0,0,3,1.0,0.0,0.0,1.0,,,,
2021-01-12,45,81,20,101,5,29,66,103,35,4,3,18,29,13,8,1,1,1,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2.0,,,,
2021-01-13,44,78,20,84,10,26,59,94,24,2,5,11,32,17,6,3,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,,,,
2021-01-14,37,68,17,99,12,27,64,104,27,0,0,12,29,16,2,6,2,5,0.0,0.0,0.0,2,2,2.0,0.0,0.0,1.0,,,,
2021-01-15,60,88,14,104,13,22,57,97,30,2,3,18,36,22,9,2,2,0,0.0,0.0,0.0,0,1,1.0,0.0,1.0,0.0,,,,
2021-01-16,46,107,24,73,11,28,70,26,31,1,1,11,26,18,5,3,1,0,0.0,0.0,0.0,0,2,1.0,0.0,0.0,0.0,,,,
2021-01-17,45,105,26,88,4,38,61,76,26,1,4,7,38,12,4,1,4,0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.0,,,,
2021-01-18,33,68,15,86,10,35,71,38,31,3,4,12,41,17,4,3,1,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,,,
2021-01-19,44,93,16,89,11,27,56,69,32,2,3,16,36,11,6,4,1,1,0.0,0.0,0.0,1,0,1.0,0.0,0.0,3.0,,,,
